Mitsubishi_RV-3SD 6 1wgapkt 4 0 40 70
0 350 95 -pi/2 0 -3.1416 3.1416
0 0 245 pi 0 -3.1416 0.7854
0 0 135 pi/2 0 -1.885 2.0944
0 270 0 pi/2 0 -3.1416 3.1416
0 0 0 -pi/2 0 -1.5708 1.5708
0 85 0 0 0 -3.1416 3.1416
Puma560 6 1wgapkt 6 5 40 70
pi/2 0 0 -pi/2 0 -2.7925 2.7925
0 149 432 0 0 -3.927 0.7854
pi/2 0 20 pi/2 0 -0.7854 3.927
0 433 0 -pi/2 0 -1.9199 2.9671
0 0 0 pi/2 0 -1.7453 1.7453
0 56 0 0 0 -4.6426 4.6426
ABB_IRB140 6 1wgapkt 150 5 45 70
0 352 70 -pi/2 0 -3.1416 3.1416
-pi/2 0 360 0 0 -3.1416 3.1416
0 0 0 -pi/2 0 -3.1416 3.1416
0 380 0 pi/2 0 -3.1416 3.1416
0 0 0 -pi/2 0 -3.1416 3.1416
0 65 0 0 0 -3.1416 3.1416
Motoman_HP20 6 1wgapkt 6 5 40 70
0 0 150 -pi/2 0 -3.1416 3.1416
0 0 760 0 0 -1.7453 2.7053
0 0 140 -pi/2 0 -1.5708 1.5708
0 795 0 pi/2 0 -3.1416 3.1416
0 0 0 -pi/2 0 -3.1416 3.1416
0 -105 0 0 0 -3.1416 3.1416
